Date,N1,N2,N3,N4,N5,E1,E2
2004-02-13,14,18,31,40,46,8,11
2004-02-20,5,11,41,42,43,3,10
2004-02-27,8,18,28,39,50,2,3
2004-03-05,16,18,43,49,50,2,12
2004-03-12,8,14,22,34,47,2,9
2004-03-19,9,11,38,40,48,2,11
2004-03-26,5,15,28,41,43,5,9
2004-04-02,10,11,14,25,41,3,8
2004-04-09,6,7,29,35,38,6,9
2004-04-16,1,6,8,44,50,3,8
2004-04-23,21,24,30,33,34,6,12
2004-04-30,7,26,30,34,48,2,3
2004-05-07,4,8,28,34,40,3,10
2004-05-14,7,13,36,38,50,2,6
2004-05-21,23,33,35,39,47,1,9
2004-05-28,14,19,30,32,36,2,10
2004-06-04,7,10,16,23,25,10,11
2004-06-11,2,20,26,39,50,1,5
2004-06-18,9,19,28,31,42,1,5
2004-06-25,2,6,20,32,46,9,11
2004-07-02,5,9,10,11,49,5,12
2004-07-09,6,9,12,41,48,1,11
2004-07-16,3,8,21,38,50,10,12
2004-07-23,6,12,18,27,31,1,8
2004-07-30,1,4,11,29,42,2,8
2004-08-06,11,28,38,42,47,10,11
2004-08-13,16,18,27,38,48,7,10
2004-08-20,7,10,14,23,41,2,10
2004-08-27,1,11,22,40,48,5,8
2004-09-03,10,16,22,27,28,5,11
2004-09-10,28,31,32,34,36,3,5
2004-09-17,1,5,17,21,40,2,11
2004-09-24,1,8,16,36,43,6,9
2004-10-01,7,18,21,32,36,2,7
2004-10-08,3,16,30,31,34,4,9
2004-10-15,10,15,29,45,49,6,12
2004-10-22,1,13,18,40,50,7,10
2004-10-29,3,15,34,38,43,4,11
2004-11-05,12,26,30,31,41,2,6
2004-11-12,11,14,18,26,49,3,10
2004-11-19,17,19,42,43,46,1,9
2004-11-26,22,23,27,30,43,2,8
2004-12-03,8,9,31,33,41,11,12
2004-12-10,7,14,26,43,49,1,4
2004-12-17,1,7,26,32,45,10,11
2004-12-24,4,10,14,16,37,7,11
2004-12-31,28,43,44,46,48,1,12
2005-01-07,23,27,41,44,45,4,9
2005-01-14,11,18,19,28,46,1,12
2005-01-21,15,35,42,45,47,1,9
2005-01-28,19,30,36,38,39,1,5
2005-02-04,17,20,26,35,46,7,12
2005-02-11,7,10,14,38,42,8,9
2005-02-18,1,2,5,22,25,2,12
2005-02-25,10,15,18,19,36,2,5
2005-03-04,9,11,20,21,29,2,3
2005-03-11,6,9,10,36,44,4,5
2005-03-18,14,22,37,40,41,5,11
2005-03-25,7,16,39,40,45,3,12
2005-04-01,9,10,33,36,47,3,7
2005-04-08,10,21,35,45,49,9,12
2005-04-15,10,18,22,41,43,1,5
2005-04-22,5,6,33,34,44,4,5
2005-04-29,2,22,30,31,40,11,12
2005-05-06,15,20,28,30,49,2,10
2005-05-13,2,10,19,22,42,3,5
2005-05-20,3,33,36,39,43,1,3
2005-05-27,14,15,21,41,43,8,10
2005-06-03,6,16,32,35,39,6,8
2005-06-10,2,6,24,48,49,5,6
2005-06-17,2,17,27,43,44,2,5
2005-06-24,5,7,8,11,48,2,5
2005-07-01,17,26,33,36,43,4,7
2005-07-08,1,16,22,31,43,2,9
2005-07-15,5,8,14,28,36,7,10
2005-07-22,2,21,34,39,43,3,12
2005-07-29,8,9,12,16,26,9,10
2005-08-05,18,19,26,28,29,5,6
2005-08-12,4,11,12,30,44,2,3
2005-08-19,1,5,24,46,50,5,6
2005-08-26,20,27,34,43,50,4,5
2005-09-02,16,17,35,43,47,2,11
2005-09-09,1,6,9,23,37,8,9
2005-09-16,9,26,31,32,43,2,9
2005-09-23,1,21,26,28,50,8,11
2005-09-30,6,14,20,41,44,5,11
2005-10-07,18,20,27,46,47,3,12
2005-10-14,3,6,42,45,50,5,12
2005-10-21,3,16,20,46,48,3,7
2005-10-28,8,13,29,41,45,9,10
2005-11-04,15,30,31,42,48,3,9
2005-11-11,2,7,9,10,12,7,9
2005-11-18,9,23,29,31,38,6,10
2005-11-25,2,7,13,40,44,4,8
2005-12-02,8,9,36,37,43,3,10
2005-12-09,1,34,35,48,50,1,10
